URL,URLLength,IsDomainIP,HasObfuscation,NoOfSubDomain,IsHTTPS,URLSimilarityIndex,NoOfEqualsInURL,NoOfQMarkInURL,SpacialCharRatioInURL,DomainLength,TLDLegitimateProb,CharContinuationRate,URLCharProb,TLDLength,NoOfiFrame,NoOfPopup,HasHiddenFields,NoOfSelfRedirect,HasExternalFormSubmit,HasSubmitButton,HasPasswordField,HasSocialNet,label
http://www.cryptoguiminer.com,29,0,0,1,0,75.8621,0,0,0.1724,22,0.95,0.1429,1.0,3,0,0,0,0,0,0,0,0,0
https://www.eastrussia.ru,25,0,0,1,1,80.0,0,0,0.2,17,0.5,0.2083,1.0,2,0,0,0,0,0,0,0,0,1
https://www.fortisalberta.com,29,0,0,1,1,65.5172,0,0,0.1724,21,0.95,0.1429,1.0,3,1,0,1,8,0,1,0,1,1
https://mail-104188.square.site/,32,0,0,1,1,65.625,0,0,0.2188,23,0.35,0.0968,1.0,4,0,0,0,0,0,0,0,0,0
http://www.ultrabookreviews.com,31,0,0,1,0,58.0645,0,0,0.1613,24,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0,0
http://www.argojeans.com,24,0,0,1,0,54.1667,0,0,0.2083,17,0.95,0.1739,1.0,3,1,0,0,0,0,1,0,1,0
http://www.delicioushq.com,26,0,0,1,0,65.3846,0,0,0.1923,19,0.95,0.16,1.0,3,0,0,0,0,0,0,0,0,0
http://irs-gov.pro,18,0,0,0,0,55.5556,0,0,0.2778,11,0.5,0.1176,1.0,3,0,0,0,0,0,0,0,0,0
https://li4uu-uyaaa-aaaad-qex5q-cai.raw.ic0.app/,48,0,0,2,1,72.9167,0,0,0.2292,39,0.5,0.1915,1.0,3,0,0,0,0,0,0,0,0,0
https://alio-47dfa.web.app/,27,0,0,1,1,48.1481,0,0,0.2593,18,0.5,0.1154,1.0,3,0,0,0,0,0,0,0,0,0
http://www.srv1.org,19,0,0,1,0,57.8947,0,0,0.2632,12,0.9,0.2222,1.0,3,0,0,0,0,0,0,0,0,0
https://connexion-bnp.web.app/,30,0,0,1,1,70.0,0,0,0.2333,21,0.5,0.1379,1.0,3,0,0,0,0,0,0,0,0,0
http://lapelota.qa/otp.php,26,0,0,0,0,88.4615,0,0,0.2308,11,0.5,0.08,1.0,2,0,0,0,0,0,0,0,0,0
http://www.offlinemech.com,26,0,0,1,0,80.7692,0,0,0.1923,19,0.95,0.2,1.0,3,0,0,0,0,0,0,0,0,0
https://www.the360mag.com,25,0,0,1,1,56.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,1,1,117,0,1,0,1,1
https://www.cmlt.uga.edu,24,0,0,2,1,54.1667,0,0,0.25,16,0.98,0.1739,1.0,3,1,0,0,2,0,1,0,1,1
http://www.chicagocloudgroup.com,32,0,0,1,0,78.125,0,0,0.1562,25,0.95,0.129,1.0,3,3,0,0,0,0,0,0,1,0
https://www.corvettedepot.com,29,0,0,1,1,75.8621,0,0,0.1724,21,0.95,0.1786,1.0,3,0,0,1,282,0,1,0,1,1
http://www.saisonoard.co.jp.50gb300.xyz/,40,0,0,4,0,62.5,0,0,0.225,32,0.35,0.1282,1.0,3,0,0,0,0,0,0,0,0,0
http://www.mail.kuwaitarmy.gov-kw.com,37,0,0,3,0,70.2703,0,0,0.2162,30,0.95,0.1111,1.0,3,0,0,0,0,0,0,0,0,0
https://bom7-nkhu98.firebaseapp.com/,36,0,0,1,1,66.6667,0,0,0.1944,27,0.95,0.0857,1.0,3,0,0,0,0,0,0,0,0,0
https://www.ffwp.org,20,0,0,1,1,70.0,0,0,0.25,12,0.9,0.2632,1.0,3,1,2,0,4,0,0,0,0,1
https://wild-band-03d3.erhpfxpm.workers.dev/,44,0,0,2,1,70.4545,0,0,0.2045,35,0.5,0.0465,1.0,3,0,0,0,0,0,0,0,0,0
http://www.saraceninvestments.co.uk,35,0,0,2,0,71.4286,0,0,0.1714,28,0.9,0.1176,1.0,2,0,0,0,0,0,0,0,0,0
https://www.torresette.news,27,0,0,1,1,81.4815,0,0,0.1852,19,0.5,0.2308,1.0,4,0,1,0,2,0,1,0,1,1
https://storage.cloud.google.com/anaagc040gdyacgd0dyuser.appspot.com/index.html#user@calstatela.edu,99,0,1,2,1,93.9394,0,0,0.1414,24,0.95,0.051,0.9798,3,0,0,1,0,0,1,1,1,0
https://www.theplayersnyc.org,29,0,0,1,1,75.8621,0,0,0.1724,21,0.9,0.1429,1.0,3,0,4,0,0,0,0,0,0,1
http://www.f0405203.xsph.ru,27,0,0,2,0,62.963,0,0,0.2222,20,0.5,0.1538,1.0,2,0,0,0,0,0,0,0,0,0
https://www.alluemyoga.com,26,0,0,1,1,65.3846,0,0,0.1923,18,0.95,0.2,1.0,3,1,0,0,2,0,0,0,1,1
http://xn--80afebpjirbntcmo.xn--p1ai/qwertyy/ssdddfff/qwertyy/china,67,0,0,0,0,88.0597,0,0,0.1791,29,0.5,0.1667,1.0,8,0,0,0,0,0,0,0,0,0
http://xxdazbvqvqyzgkvuyigleyjdynvkqjgkjjwzxkdqqk-dot-gl9393jan.sepa-00980-force-drop.oa.r.appspot.com/?fbclid=iwar0l0ijnbn7s-wl_1cwed3ywdyg7lc_lq91iy7yty6s4gc5nv2ou8e1wh3o,172,0,0,4,0,95.3488,1,1,0.1105,95,0.95,0.0409,1.0,3,0,0,0,0,0,0,0,0,0
http://www.qwartwf.ml,21,0,0,1,0,57.1429,0,0,0.2381,14,0.5,0.2,1.0,2,0,0,0,0,0,0,0,0,0
https://www.nativeseedpod.org,29,0,0,1,1,72.4138,0,0,0.1724,21,0.9,0.1786,1.0,3,0,0,0,2,0,0,0,1,1
https://www.labeat.ca,21,0,0,1,1,61.9048,0,0,0.2381,13,0.88,0.2,1.0,2,0,0,0,1,0,0,0,0,1
http://att-100361-109870.weeblysite.com/,40,0,0,1,0,55.0,0,0,0.2,32,0.95,0.1282,1.0,3,0,0,0,0,0,0,0,0,0
https://www.mtbs3d.com,22,0,0,1,1,63.6364,0,0,0.2273,14,0.95,0.1905,1.0,3,0,0,0,0,0,0,0,0,1
https://www.techzine.nl,23,0,0,1,1,69.5652,0,0,0.2174,15,0.5,0.1818,1.0,2,0,0,0,0,0,0,0,0,1
https://www.mrcombi.com,23,0,0,1,1,69.5652,0,0,0.2174,15,0.95,0.1818,1.0,3,0,0,0,0,0,0,0,0,1
https://www.grasiemercedes.com,30,0,0,1,1,73.3333,0,0,0.1667,22,0.95,0.1379,1.0,3,0,0,0,1,0,1,0,1,1
http://www.online-offices.com,29,0,0,1,0,75.8621,0,0,0.2069,22,0.95,0.1786,1.0,3,0,0,0,0,0,0,0,0,0
https://www.blavatskyarchives.com,33,0,0,1,1,66.6667,0,0,0.1515,25,0.95,0.125,1.0,3,0,0,0,0,0,0,0,1,1
https://www.vinu.edu,20,0,0,1,1,55.0,0,0,0.25,12,0.98,0.2105,1.0,3,2,0,0,125,0,1,0,1,1
http://www.datemyso.com,23,0,0,1,0,60.8696,0,0,0.2174,16,0.95,0.1818,1.0,3,0,0,0,0,0,1,0,0,0
http://www.slashoff.com,23,0,0,1,0,73.913,0,0,0.2174,16,0.95,0.2273,1.0,3,0,0,0,0,0,0,0,0,0
https://att-103000-servicedomain.weeblysite.com/,48,0,0,1,1,72.9167,0,0,0.1667,39,0.95,0.1277,1.0,3,0,0,0,0,0,0,0,0,0
https://www.ocaziituristice.ro,30,0,0,1,1,76.6667,0,0,0.1667,22,0.5,0.1724,1.0,2,0,0,1,21,0,1,0,1,1
https://www.panamax.io,22,0,0,1,1,63.6364,0,0,0.2273,14,0.5,0.1905,1.0,2,1,0,0,0,1,1,0,1,1
https://www.camillamorrison.com,31,0,0,1,1,87.0968,0,0,0.1613,23,0.95,0.2,1.0,3,1,0,0,0,0,0,0,1,1
https://www.shms.edu,20,0,0,1,1,70.0,0,0,0.25,12,0.98,0.2105,1.0,3,0,0,0,4,1,1,0,1,1
https://www.rcrwireless.com,27,0,0,1,1,74.0741,0,0,0.1852,19,0.95,0.1923,1.0,3,1,0,1,0,1,1,0,1,1
https://www.nmz.de,18,0,0,1,1,50.0,0,0,0.2778,10,0.88,0.2353,1.0,2,3,0,1,5,0,1,0,1,1
https://www.mashvirtual.com,27,0,0,1,1,66.6667,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0,1
http://atrtidwesdty.square.site/,32,0,0,1,0,78.125,0,0,0.1875,24,0.35,0.0645,1.0,4,0,0,0,0,0,0,0,0,0
https://www.vipps.no,20,0,0,1,1,70.0,0,0,0.25,12,0.5,0.2632,1.0,2,0,0,0,0,0,0,0,1,1
http://www.roundcube000mondy01.web.app,38,0,0,2,0,78.9474,0,0,0.1579,31,0.5,0.1892,1.0,3,0,0,0,0,0,0,0,0,0
https://www.topjoyflooring.com,30,0,0,1,1,56.6667,0,0,0.1667,22,0.95,0.1724,1.0,3,0,0,0,0,0,0,0,0,1
https://dev-ban7890.pantheonsite.io/,36,0,0,1,1,75.0,0,0,0.1944,27,0.5,0.0571,1.0,2,0,0,0,0,0,0,0,0,0
http://aruba.saerfact-auth.de/,30,0,0,1,0,73.3333,0,0,0.2333,22,0.88,0.069,1.0,2,0,0,0,0,0,0,0,0,0
https://gateway.pinata.cloud/ipfs/bafybeihs6khr3weelc5vq6s7piyj3eg7uiplfvyiv34a7qu65tgtdzck3i,93,0,0,1,1,92.4731,0,0,0.0753,20,0.5,0.0326,1.0,5,0,0,0,0,0,0,0,0,0
https://www.corriecooks.com,27,0,0,1,1,74.0741,0,0,0.1852,19,0.95,0.2308,1.0,3,1,0,0,100,0,1,0,1,1
http://www.stripmywalls.com,27,0,0,1,0,70.3704,0,0,0.1852,20,0.95,0.1923,1.0,3,0,0,0,0,0,0,0,0,0
https://www.difp.ie,19,0,0,1,1,68.4211,0,0,0.2632,11,0.5,0.2222,1.0,2,0,2,0,11,0,1,0,0,1
https://www.pros-consulte.com,29,0,0,1,1,68.9655,0,0,0.2069,21,0.95,0.1429,1.0,3,1,0,0,1,0,1,0,1,1
https://www.quaritch.com,24,0,0,1,1,58.3333,0,0,0.2083,16,0.95,0.1739,1.0,3,0,0,1,37,0,1,0,1,1
