URLLength,IsDomainIP,HasObfuscation,NoOfSubDomain,IsHTTPS,URLSimilarityIndex,NoOfEqualsInURL,NoOfQMarkInURL,SpacialCharRatioInURL,DomainLength,TLDLegitimateProb,CharContinuationRate,URLCharProb,TLDLength,NoOfiFrame,NoOfPopup,HasHiddenFields,NoOfSelfRedirect,HasExternalFormSubmit,HasSubmitButton,HasPasswordField,HasSocialNet
28,0,0,1,1,71.4286,0,0,0.1786,20,0.95,0.1481,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,81.4815,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
22,0,0,1,1,77.2727,0,0,0.2273,14,0.9,0.3333,1.0,3,0,0,0,0,0,1,0,1
32,0,0,2,0,78.125,0,0,0.1875,25,0.95,0.1613,1.0,3,0,0,0,0,0,0,0,0
24,0,0,2,0,70.8333,0,0,0.25,17,0.5,0.1739,1.0,2,0,0,0,0,0,0,0,0
35,0,0,1,1,71.4286,0,0,0.1429,27,0.9,0.1471,1.0,3,0,0,0,0,0,0,0,0
49,0,0,1,1,81.6327,0,0,0.1633,40,0.8,0.1042,1.0,2,0,0,0,0,0,0,0,0
42,0,0,0,1,85.7143,0,0,0.1905,11,0.95,0.0488,1.0,3,0,0,0,0,0,0,0,0
33,0,0,1,1,78.7879,0,0,0.1818,24,0.95,0.0625,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,0,52.381,0,0,0.2381,14,0.95,0.2,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,0,76.1905,0,0,0.2381,14,0.95,0.25,1.0,3,0,0,0,0,0,0,0,0
44,0,0,1,1,77.2727,0,0,0.1818,35,0.5,0.0698,1.0,2,0,0,0,0,0,0,0,0
25,0,0,1,1,68.0,0,0,0.2,17,0.95,0.1667,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,1,61.9048,0,0,0.2381,13,0.95,0.2,1.0,3,0,0,0,0,0,0,0,0
19,0,0,1,1,57.8947,0,0,0.2632,11,0.5,0.2222,1.0,2,0,0,0,0,0,0,0,0
34,0,0,1,1,79.4118,0,0,0.1471,26,0.9,0.1515,1.0,3,0,0,0,0,0,0,0,0
25,0,0,1,1,72.0,0,0,0.2,17,0.9,0.1667,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,85.1852,0,0,0.1852,19,0.95,0.1538,1.0,3,0,0,0,0,0,0,0,0
108,0,0,1,1,94.4444,0,0,0.1667,37,0.5,0.0467,1.0,2,0,0,0,0,0,0,0,0
30,0,0,1,1,70.0,0,0,0.1667,22,0.95,0.1379,1.0,3,0,0,0,0,0,0,0,0
21,0,0,1,1,76.1905,0,0,0.2381,13,0.5,0.2,1.0,2,0,0,0,0,0,0,0,0
27,0,0,1,1,70.3704,0,0,0.2222,18,0.5,0.1154,1.0,3,0,0,0,0,0,0,0,0
63,0,0,3,0,92.0635,0,0,0.1746,52,0.3,0.0645,1.0,3,0,0,0,0,0,0,0,0
24,0,0,1,1,66.6667,0,0,0.2083,16,0.85,0.1739,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,0,71.4286,0,0,0.1786,21,0.85,0.1481,1.0,3,0,0,0,0,0,0,0,0
31,0,0,2,1,67.7419,0,0,0.1935,23,0.9,0.2,1.0,2,0,0,0,0,0,0,0,0
24,0,0,1,1,58.3333,0,0,0.2083,16,0.95,0.2174,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,1,73.0769,0,0,0.1923,18,0.95,0.16,1.0,3,0,0,0,0,0,0,0,0
38,0,0,1,0,60.5263,0,0,0.1579,30,0.85,0.0541,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,1,66.6667,0,0,0.2593,18,0.5,0.1154,1.0,3,0,0,0,0,0,0,0,0
28,0,0,1,1,64.2857,0,0,0.1786,20,0.95,0.1852,1.0,3,0,0,0,0,0,0,0,0
29,0,0,1,1,86.2069,0,0,0.1724,21,0.95,0.1429,1.0,3,0,0,0,0,0,0,0,0
26,0,0,1,0,57.6923,0,0,0.1923,19,0.95,0.16,1.0,3,0,0,0,0,0,0,0,0
42,0,0,1,1,69.0476,0,0,0.1429,34,0.95,0.0976,1.0,3,0,0,0,0,0,0,0,0
27,0,0,1,0,66.6667,0,0,0.1852,20,0.95,0.1923,1.0,3,0,0,0,0,0,0,0,0
